source,date,fund,fund_ticker,bbg_ticker,eqyticker,sedol,shares_cust,quantity,category_description,asset_group,price,market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME
umb,2026-05-13,P2726,P2726,P2726,XOM,,4000.0,4000.0,COMMON,,151.57,606280.0,Energy,"Oil, Gas & Consumable Fuels",Energy
umb,2026-05-14,P2726,P2726,P2726,AAPL,,7574.0,7574.0,COMMON,,298.21,2258642.54,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
umb,2026-05-14,P2726,P2726,P2726,ABBV,,1063.0,1063.0,COMMON,,210.77,224048.51,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,ABT,,1896.0,1896.0,COMMON,,84.9,160970.4,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,ACN,,500.0,500.0,COMMON,,163.99,81995.0,Information Technology,IT Services,Software & Services
umb,2026-05-14,P2726,P2726,P2726,ADBE,,337.0,337.0,COMMON,,237.01,79872.37,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,AMAT,,475.0,475.0,COMMON,,440.56,209266.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,AMD,,972.0,972.0,COMMON,,449.7,437108.4,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,AMGN,,324.0,324.0,COMMON,,336.23,108938.52,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,AMT,,2399.0,2399.0,REIT,,170.5,409029.5,Real Estate,Specialized REITs,Equity Real Estate Investment Trusts
umb,2026-05-14,P2726,P2726,P2726,AMZN,,5721.0,5721.0,COMMON,,267.22,1528765.62,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,AVGO,,2818.0,2818.0,COMMON,,439.79,1239328.22,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,AXP,,411.0,411.0,COMMON,,312.77,128548.47,Financials,Consumer Finance,Financial Services
umb,2026-05-14,P2726,P2726,P2726,BA,,867.0,867.0,COMMON,,229.21,198725.07,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,BAC,,4048.0,4048.0,COMMON,,49.85,201792.8,Financials,Banks,Banks
umb,2026-05-14,P2726,P2726,P2726,BKNG,,888.0,888.0,COMMON,,154.48,137178.24,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-14,P2726,P2726,P2726,BLK,,110.0,110.0,COMMON,,1104.03,121443.3,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,BMY,,1225.0,1225.0,COMMON,,56.77,69543.25,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,BRK/B,,1400.0,1400.0,COMMON,,484.06,677684.0,Financials,Financial Services,Financial Services
umb,2026-05-14,P2726,P2726,P2726,C,,1078.0,1078.0,COMMON,,124.82,134555.96,Financials,Banks,Banks
umb,2026-05-14,P2726,P2726,P2726,CAT,,519.0,519.0,COMMON,,920.22,477594.18,Industrials,Machinery,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,CB,,1738.0,1738.0,COMMON,,320.09,556316.42,Financials,Insurance,Insurance
umb,2026-05-14,P2726,P2726,P2726,CL,,549.0,549.0,COMMON,,88.84,48773.16,Consumer Staples,Household Products,Household & Personal Products
umb,2026-05-14,P2726,P2726,P2726,CMCSA,,2155.0,2155.0,COMMON,,25.17,54241.35,Communication Services,Diversified Telecommunication Services,Telecommunication Services
umb,2026-05-14,P2726,P2726,P2726,COP,,1172.0,1172.0,COMMON,,118.97,139432.84,Energy,"Oil, Gas & Consumable Fuels",Energy
umb,2026-05-14,P2726,P2726,P2726,COST,,271.0,271.0,COMMON,,1041.25,282178.75,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,CRM,,767.0,767.0,COMMON,,167.58,128533.86,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,CSCO,,8207.0,8207.0,COMMON,,115.53,948154.71,Information Technology,Communications Equipment,Technology Hardware & Equipment
umb,2026-05-14,P2726,P2726,P2726,CVS,,1384.0,1384.0,COMMON,,97.15,134455.6,Health Care,Health Care Providers & Services,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,CVX,,1795.0,1795.0,COMMON,,186.64,335018.8,Energy,"Oil, Gas & Consumable Fuels",Energy
umb,2026-05-14,P2726,P2726,P2726,DE,,279.0,279.0,COMMON,,574.64,160324.56,Industrials,Machinery,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,DHR,,378.0,378.0,COMMON,,164.54,62196.12,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,DIS,,1059.0,1059.0,COMMON,,105.42,111639.78,Communication Services,Entertainment,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,DUK,,1493.0,1493.0,COMMON,,124.31,185594.83,Utilities,Electric Utilities,Utilities
umb,2026-05-14,P2726,P2726,P2726,ELV,,242.0,242.0,COMMON,,396.71,96003.82,Health Care,Health Care Providers & Services,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,EMR,,622.0,622.0,COMMON,,137.88,85761.36,Industrials,Electrical Equipment,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,ETN,,431.0,431.0,COMMON,,408.1,175891.1,Industrials,Electrical Equipment,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,FDX,,191.0,191.0,COMMON,,379.98,72576.18,Industrials,Air Freight & Logistics,Transportation
umb,2026-05-14,P2726,P2726,P2726,GE,,1169.0,1169.0,COMMON,,291.54,340810.26,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,GILD,,747.0,747.0,COMMON,,132.06,98648.82,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,GOOG,,2383.0,2383.0,COMMON,,397.17,946456.11,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,GOOGL,,2983.0,2983.0,COMMON,,401.07,1196391.81,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,GS,,229.0,229.0,COMMON,,968.96,221891.84,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,HD,,585.0,585.0,COMMON,,304.35,178044.75,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,HON,,704.0,704.0,COMMON,,217.72,153274.88,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,IBM,,753.0,753.0,COMMON,,218.37,164432.61,Information Technology,IT Services,Software & Services
umb,2026-05-14,P2726,P2726,P2726,INTC,,2675.0,2675.0,COMMON,,115.93,310112.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,INTU,,225.0,225.0,COMMON,,378.29,85115.25,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,ISRG,,387.0,387.0,COMMON,,428.06,165659.22,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,JNJ,,1450.0,1450.0,COMMON,,230.8,334660.0,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,JPM,,1640.0,1640.0,COMMON,,299.91,491852.4,Financials,Banks,Banks
umb,2026-05-14,P2726,P2726,P2726,KO,,2700.0,2700.0,COMMON,,80.45,217215.0,Consumer Staples,Beverages,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,LIN,,1358.0,1358.0,COMMON,,511.65,694820.7,Materials,Chemicals,Materials
umb,2026-05-14,P2726,P2726,P2726,LLY,,478.0,478.0,COMMON,,1006.7,481202.6,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,LMT,,226.0,226.0,COMMON,,520.41,117612.66,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,LOW,,330.0,330.0,COMMON,,223.61,73791.3,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,LRCX,,749.0,749.0,COMMON,,299.15,224063.35,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,MA,,626.0,626.0,COMMON,,489.94,306702.44,Financials,Financial Services,Financial Services
umb,2026-05-14,P2726,P2726,P2726,MCD,,785.0,785.0,COMMON,,274.97,215851.45,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-14,P2726,P2726,P2726,MDLZ,,899.0,899.0,COMMON,,60.97,54812.03,Consumer Staples,Food Products,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,MDT,,1398.0,1398.0,COMMON,,76.97,107604.06,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,META,,1292.0,1292.0,COMMON,,618.43,799011.56,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,MMM,,588.0,588.0,COMMON,,145.12,85330.56,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,MO,,1171.0,1171.0,COMMON,,72.41,84792.11,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,MRK,,1494.0,1494.0,COMMON,,113.41,169434.54,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,MS,,923.0,923.0,COMMON,,194.53,179551.19,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,MSFT,,3810.0,3810.0,COMMON,,409.43,1559928.3,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,MU,,670.0,670.0,COMMON,,776.01,519926.7,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,NEE,,3997.0,3997.0,COMMON,,95.68,382432.96,Utilities,Electric Utilities,Utilities
umb,2026-05-14,P2726,P2726,P2726,NFLX,,2513.0,2513.0,COMMON,,86.94,218480.22,Communication Services,Entertainment,Media & Entertainment
umb,2026-05-14,P2726,P2726,P2726,NKE,,2433.0,2433.0,COMMON,,42.02,102234.66,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel
umb,2026-05-14,P2726,P2726,P2726,NOW,,835.0,835.0,COMMON,,90.5,75567.5,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,NVDA,,12455.0,12455.0,COMMON,,235.74,2936141.7,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,ORCL,,1355.0,1355.0,COMMON,,195.61,265051.55,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,PEP,,954.0,954.0,COMMON,,148.67,141831.18,Consumer Staples,Beverages,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,PFE,,3421.0,3421.0,COMMON,,25.75,88090.75,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,PG,,1592.0,1592.0,COMMON,,142.71,227194.32,Consumer Staples,Household Products,Household & Personal Products
umb,2026-05-14,P2726,P2726,P2726,PLTR,,1840.0,1840.0,COMMON,,133.73,246063.2,Information Technology,Software,Software & Services
umb,2026-05-14,P2726,P2726,P2726,PM,,1085.0,1085.0,COMMON,,191.86,208168.1,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
umb,2026-05-14,P2726,P2726,P2726,PYPL,,715.0,715.0,COMMON,,45.04,32203.6,Financials,Financial Services,Financial Services
umb,2026-05-14,P2726,P2726,P2726,QCOM,,639.0,639.0,COMMON,,200.08,127851.12,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,RTX,,1486.0,1486.0,COMMON,,175.68,261060.48,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-14,P2726,P2726,P2726,SBUX,,1254.0,1254.0,COMMON,,106.4,133425.6,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-14,P2726,P2726,P2726,SCHW,,1275.0,1275.0,COMMON,,89.44,114036.0,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,SO,,2113.0,2113.0,COMMON,,93.68,197945.84,Utilities,Electric Utilities,Utilities
umb,2026-05-14,P2726,P2726,P2726,SPGI,,237.0,237.0,COMMON,,403.92,95729.04,Financials,Capital Markets,Financial Services
umb,2026-05-14,P2726,P2726,P2726,T,,4652.0,4652.0,COMMON,,24.65,114671.8,Communication Services,Diversified Telecommunication Services,Telecommunication Services
umb,2026-05-14,P2726,P2726,P2726,TJX,,655.0,655.0,COMMON,,147.35,96514.25,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,TMO,,226.0,226.0,COMMON,,448.21,101295.46,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-14,P2726,P2726,P2726,TSLA,,1611.0,1611.0,COMMON,,443.3,714156.3,Consumer Discretionary,Automobiles,Automobiles & Components
umb,2026-05-14,P2726,P2726,P2726,TXN,,542.0,542.0,COMMON,,308.17,167028.14,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-14,P2726,P2726,P2726,UBER,,1827.0,1827.0,COMMON,,74.69,136458.63,Industrials,Ground Transportation,Transportation
umb,2026-05-14,P2726,P2726,P2726,UNH,,988.0,988.0,COMMON,,399.09,394300.92,Health Care,Health Care Providers & Services,Health Care Equipment & Services
umb,2026-05-14,P2726,P2726,P2726,UNP,,521.0,521.0,COMMON,,269.34,140326.14,Industrials,Ground Transportation,Transportation
umb,2026-05-14,P2726,P2726,P2726,UPS,,650.0,650.0,COMMON,,98.42,63973.0,Industrials,Air Freight & Logistics,Transportation
umb,2026-05-14,P2726,P2726,P2726,USB,,937.0,937.0,COMMON,,53.42,50054.54,Financials,Banks,Banks
umb,2026-05-14,P2726,P2726,P2726,V,,1288.0,1288.0,COMMON,,322.52,415405.76,Financials,Financial Services,Financial Services
umb,2026-05-14,P2726,P2726,P2726,VZ,,2767.0,2767.0,COMMON,,47.06,130215.02,Communication Services,Diversified Telecommunication Services,Telecommunication Services
umb,2026-05-14,P2726,P2726,P2726,WFC,,1891.0,1891.0,COMMON,,73.79,139536.89,Financials,Banks,Banks
umb,2026-05-14,P2726,P2726,P2726,WM,,1335.0,1335.0,COMMON,,218.82,292124.7,Industrials,Commercial Services & Supplies,Commercial & Professional Services
umb,2026-05-14,P2726,P2726,P2726,WMT,,2682.0,2682.0,COMMON,,132.46,355257.72,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail
umb,2026-05-14,P2726,P2726,P2726,XOM,,4000.0,4000.0,COMMON,,152.78,611120.0,Energy,"Oil, Gas & Consumable Fuels",Energy
