fund_ticker,bbg_ticker,date,analysis_type,eqyticker,sedol,figi,nav_shares,iiv_shares,iiv_shares_tminus_one,trade_rebal,nav_wgt_begin,nav_wgt_end,nav_wgt_diff,index_iiv_wgt,dividend,price,equity_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP,EQY_SH_OUT,EQY_SH_OUT_million
P2726,P2726,2026-05-13,eod,AAPL,2046251,BBG000B9XRY4,7574.0,7574.0,7574.0,0.0,0.069119,0.069612,-3e-06,0.069615,0.0,298.87,2263641.38,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,,Common Stock,14687.36,14687360000.0
P2726,P2726,2026-05-13,eod,ABBV,B92SR70,BBG0025Y4RY4,1063.0,1063.0,1063.0,0.0,0.00684,0.006816,-4e-06,0.006819,0.0,208.5,221635.5,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,1766.793,1766793000.0
P2726,P2726,2026-05-13,eod,ABT,2002305,BBG000B9ZXB4,1896.0,1896.0,1896.0,0.0,0.004951,0.004888,-1e-06,0.004889,0.0,83.83,158941.68,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock,1741.812,1741812000.0
P2726,P2726,2026-05-13,eod,ACN,B4BNMY3,BBG000D9D830,500.0,500.0,500.0,0.0,0.002628,0.002455,2e-06,0.002453,0.0,159.64,79820.0,Information Technology,IT Services,Software & Services,,Common Stock,613.9393,613939300.0
P2726,P2726,2026-05-13,eod,ADBE,2008154,BBG000BB5006,337.0,337.0,337.0,0.0,0.002512,0.002447,-2e-06,0.002448,0.0,236.07,79555.59,Information Technology,Software,Software & Services,,Common Stock,404.2,404200000.0
P2726,P2726,2026-05-13,eod,AMAT,2046552,BBG000BBPFB9,475.0,475.0,475.0,0.0,0.00634,0.006378,-5e-06,0.006382,0.0,436.61,207389.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,793.9594,793959400.0
P2726,P2726,2026-05-13,eod,AMD,2007849,BBG000BBQCY0,972.0,972.0,972.0,0.0,0.013489,0.013317,8e-06,0.013309,0.0,445.5,433026.0,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,1630.601,1630601000.0
P2726,P2726,2026-05-13,eod,AMGN,2023607,BBG000BBS2Y0,324.0,324.0,324.0,0.0,0.003373,0.003352,0.0,0.003353,0.0,336.45,109009.8,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,539.7083,539708300.0
P2726,P2726,2026-05-13,eod,AMT,B7FBFL2,BBG000B9XYV2,2399.0,2399.0,2399.0,0.0,0.01328,0.012827,-4e-06,0.012831,0.0,173.87,417114.13,Real Estate,Specialized REITs,Equity Real Estate Investment Trusts,,REIT,465.8931,465893100.0
P2726,P2726,2026-05-13,eod,AMZN,2000019,BBG000BVPV84,5721.0,5721.0,5721.0,0.0,0.047076,0.047525,-7e-06,0.047532,0.0,270.13,1545413.73,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail,,Common Stock,10757.11,10757110000.0
P2726,P2726,2026-05-13,eod,AVGO,BDZ78H9,BBG00KHY5S69,2818.0,2818.0,2818.0,0.0,0.036577,0.036119,4e-06,0.036115,0.0,416.79,1174514.22,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,4734.668,4734668000.0
P2726,P2726,2026-05-13,eod,AXP,2026082,BBG000BCQZS4,411.0,411.0,411.0,0.0,0.003999,0.003913,7e-06,0.003906,0.0,309.61,127249.71,Financials,Consumer Finance,Financial Services,,Common Stock,682.3264,682326400.0
P2726,P2726,2026-05-13,eod,BA,2108601,BBG000BCSST7,867.0,867.0,867.0,0.0,0.006357,0.006415,-5e-06,0.00642,0.0,240.6,208600.2,Industrials,Aerospace & Defense,Capital Goods,,Common Stock,788.3023,788302300.0
P2726,P2726,2026-05-13,eod,BAC,2295677,BBG000BCTLF6,4048.0,4048.0,4048.0,0.0,0.006363,0.006204,0.0,0.006205,0.0,49.84,201752.32,Financials,Banks,Banks,,Common Stock,7096.591,7096591000.0
P2726,P2726,2026-05-13,eod,BKNG,BDRXDB4,BBG000BLBVN4,888.0,888.0,888.0,0.0,0.004414,0.004234,-2e-06,0.004236,0.0,155.03,137666.64,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,,Common Stock,774.8784,774878400.0
P2726,P2726,2026-05-13,eod,BLK,BMZBBT7,BBG01PSW2WN4,110.0,110.0,110.0,0.0,0.00372,0.003701,-6e-06,0.003707,0.0,1094.1,120351.0,Financials,Capital Markets,Financial Services,,Common Stock,155.234,155234000.0
P2726,P2726,2026-05-13,eod,BMY,2126335,BBG000DQLV23,1225.0,1225.0,1225.0,0.0,0.002141,0.002124,0.0,0.002124,0.0,56.39,69077.75,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,2042.071,2042071000.0
P2726,P2726,2026-05-13,eod,BRK/B,2073390,BBG000DWG505,1400.0,1400.0,1400.0,0.0,0.021017,0.020903,-1e-06,0.020904,0.0,485.52,679728.0,Financials,Financial Services,Financial Services,,Common Stock,1398.309,1398309000.0
P2726,P2726,2026-05-13,eod,C,2297907,BBG000FY4S11,1078.0,1078.0,1078.0,0.0,0.004219,0.004114,-1e-06,0.004115,0.0,124.1,133779.8,Financials,Banks,Banks,,Common Stock,1705.577,1705577000.0
P2726,P2726,2026-05-13,eod,CAT,2180201,BBG000BF0K17,519.0,519.0,519.0,0.0,0.014655,0.014401,1.1e-05,0.01439,0.0,902.3,468293.7,Industrials,Machinery,Capital Goods,,Common Stock,460.592,460592000.0
P2726,P2726,2026-05-13,eod,CB,B3BQMF6,BBG000BR14K5,1738.0,1738.0,1738.0,0.0,0.017326,0.01689,-2e-06,0.016892,0.0,316.01,549225.38,Financials,Insurance,Insurance,,Common Stock,387.8601,387860100.0
P2726,P2726,2026-05-13,eod,CL,2209106,BBG000BFQYY3,549.0,549.0,549.0,0.0,0.001486,0.001484,-1e-06,0.001484,0.0,87.87,48240.63,Consumer Staples,Household Products,Household & Personal Products,,Common Stock,800.1893,800189300.0
P2726,P2726,2026-05-13,eod,CMCSA,2044545,BBG000BFT2L4,2155.0,2155.0,2155.0,0.0,0.001661,0.001653,0.0,0.001653,0.0,24.94,53745.7,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock,3562.784,3562784000.0
P2726,P2726,2026-05-13,eod,COP,2685717,BBG000BQQH30,1172.0,1172.0,1172.0,0.0,0.004276,0.004231,0.0,0.004231,0.0,117.4,137592.8,Energy,"Oil, Gas & Consumable Fuels",Energy,,Common Stock,1218.853,1218853000.0
P2726,P2726,2026-05-13,eod,COST,2701271,BBG000F6H8W8,271.0,271.0,271.0,0.0,0.008573,0.00861,-4e-06,0.008613,0.0,1033.08,279964.68,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,,Common Stock,443.6525,443652500.0
P2726,P2726,2026-05-13,eod,CRM,2310525,BBG000BN2DC2,767.0,767.0,767.0,0.0,0.004067,0.003912,1e-06,0.003911,0.0,165.84,127199.28,Information Technology,Software,Software & Services,,Common Stock,818.0537,818053700.0
P2726,P2726,2026-05-13,eod,CSCO,2198163,BBG000C3J3C9,8207.0,8207.0,8207.0,0.0,0.025225,0.02571,-2e-06,0.025712,0.0,101.87,836047.09,Information Technology,Communications Equipment,Technology Hardware & Equipment,,Common Stock,3941.435,3941435000.0
P2726,P2726,2026-05-13,eod,CVS,2577609,BBG000BGRY34,1384.0,1384.0,1384.0,0.0,0.004077,0.004176,-1e-06,0.004177,0.0,98.11,135784.24,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock,1275.927,1275927000.0
P2726,P2726,2026-05-13,eod,CVX,2838555,BBG000K4ND22,1795.0,1795.0,1795.0,0.0,0.010332,0.010267,-1e-06,0.010268,0.0,186.0,333870.0,Energy,"Oil, Gas & Consumable Fuels",Energy,,Common Stock,1991.598,1991598000.0
P2726,P2726,2026-05-13,eod,DE,2261203,BBG000BH1NH9,279.0,279.0,279.0,0.0,0.005089,0.004982,7e-06,0.004975,0.0,580.65,162001.35,Industrials,Machinery,Capital Goods,,Common Stock,270.1073,270107300.0
P2726,P2726,2026-05-13,eod,DHR,2250870,BBG000BH3JF8,378.0,378.0,378.0,0.0,0.001945,0.00193,-2e-06,0.001931,0.0,165.99,62744.22,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,707.7706,707770600.0
P2726,P2726,2026-05-13,eod,DIS,2270726,BBG000BH4R78,1059.0,1059.0,1059.0,0.0,0.00348,0.003416,1e-06,0.003416,0.0,104.9,111089.1,Communication Services,Entertainment,Media & Entertainment,,Common Stock,1736.511,1736511000.0
P2726,P2726,2026-05-13,eod,DUK,B7VD3F2,BBG000BHGDH5,1493.0,1493.0,1493.0,0.0,0.00578,0.005689,2e-06,0.005687,0.0,123.9,184982.7,Utilities,Electric Utilities,Utilities,,Common Stock,778.2167,778216700.0
P2726,P2726,2026-05-13,eod,ELV,BSPHGL4,BBG000BCG930,242.0,242.0,242.0,0.0,0.002946,0.002974,-4e-06,0.002979,0.0,399.64,96712.88,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock,217.1624,217162400.0
P2726,P2726,2026-05-13,eod,EMR,2313405,BBG000BHX7N2,622.0,622.0,622.0,0.0,0.002643,0.002635,-2e-06,0.002637,0.0,137.76,85686.72,Industrials,Electrical Equipment,Capital Goods,,Common Stock,560.1,560100000.0
P2726,P2726,2026-05-13,eod,ETN,B8KQN82,BBG000BJ3PD2,431.0,431.0,431.0,0.0,0.005357,0.005394,7e-06,0.005386,0.0,406.94,175391.14,Industrials,Electrical Equipment,Capital Goods,,Common Stock,388.3,388300000.0
P2726,P2726,2026-05-13,eod,FDX,2142784,BBG000BJF1Z8,191.0,191.0,191.0,0.0,0.002226,0.002172,2e-06,0.00217,0.0,369.7,70612.7,Industrials,Air Freight & Logistics,Transportation,,Common Stock,238.6068,238606800.0
P2726,P2726,2026-05-13,eod,GE,BL59CR9,BBG000BK6MB5,1169.0,1169.0,1169.0,0.0,0.010764,0.010595,1e-06,0.010594,0.0,294.71,344515.99,Industrials,Aerospace & Defense,Capital Goods,,Common Stock,1043.337,1043337000.0
P2726,P2726,2026-05-13,eod,GILD,2369174,BBG000CKGBP2,747.0,747.0,747.0,0.0,0.00312,0.003056,2e-06,0.003055,0.0,133.05,99388.35,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,1241.57,1241570000.0
P2726,P2726,2026-05-13,eod,GOOG,BYY88Y7,BBG009S3NB30,2383.0,2383.0,2383.0,0.0,0.028314,0.029244,-7e-06,0.029251,0.0,399.06,950959.98,Communication Services,Interactive Media & Services,Media & Entertainment,,Common Stock,5456.0,5456000000.0
P2726,P2726,2026-05-13,eod,GOOGL,BYVY8G0,BBG009S39JX6,2983.0,2983.0,2983.0,0.0,0.035768,0.036934,9e-06,0.036925,0.0,402.62,1201015.46,Communication Services,Interactive Media & Services,Media & Entertainment,,Common Stock,5824.0,5824000000.0
P2726,P2726,2026-05-13,eod,GS,2407966,BBG000C6CFJ5,229.0,229.0,229.0,0.0,0.006705,0.006728,0.0,0.006728,0.0,955.42,218791.18,Financials,Capital Markets,Financial Services,,Common Stock,295.0074,295007400.0
P2726,P2726,2026-05-13,eod,HD,2434209,BBG000BKZB36,585.0,585.0,585.0,0.0,0.005622,0.005443,-4e-06,0.005447,0.0,302.55,176991.75,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail,,Common Stock,996.0277,996027700.0
P2726,P2726,2026-05-13,eod,HON,2020459,BBG000H556T9,704.0,704.0,704.0,0.0,0.004763,0.004719,3e-06,0.004716,0.0,217.96,153443.84,Industrials,Industrial Conglomerates,Capital Goods,,Common Stock,633.6531,633653100.0
P2726,P2726,2026-05-13,eod,IBM,2005973,BBG000BLNNH6,753.0,753.0,753.0,0.0,0.00511,0.00497,0.0,0.00497,0.0,214.64,161623.92,Information Technology,IT Services,Software & Services,,Common Stock,939.8853,939885300.0
P2726,P2726,2026-05-13,eod,INTC,2463247,BBG000C0G1D1,2675.0,2675.0,2675.0,0.0,0.009987,0.009895,-1e-06,0.009897,0.0,120.29,321775.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,5026.0,5026000000.0
P2726,P2726,2026-05-13,eod,INTU,2459020,BBG000BH5DV1,225.0,225.0,225.0,0.0,0.002701,0.002572,5e-06,0.002567,0.0,371.71,83634.75,Information Technology,Software,Software & Services,,Common Stock,273.537,273537000.0
P2726,P2726,2026-05-13,eod,ISRG,2871301,BBG000BJPDZ1,387.0,387.0,387.0,0.0,0.005174,0.005145,5e-06,0.005139,0.0,432.27,167288.49,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock,354.1628,354162800.0
P2726,P2726,2026-05-13,eod,JNJ,2475833,BBG000BMHYD1,1450.0,1450.0,1450.0,0.0,0.010066,0.010275,1e-06,0.010273,0.0,230.42,334109.0,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,2407.217,2407217000.0
P2726,P2726,2026-05-13,eod,JPM,2190385,BBG000DMBXR2,1640.0,1640.0,1640.0,0.0,0.015478,0.015143,-3e-06,0.015146,0.0,300.25,492410.0,Financials,Banks,Banks,,Common Stock,2679.511,2679511000.0
P2726,P2726,2026-05-13,eod,KO,2206657,BBG000BMX289,2700.0,2700.0,2700.0,0.0,0.006689,0.006664,2e-06,0.006662,0.0,80.26,216702.0,Consumer Staples,Beverages,"Food, Beverage & Tobacco",,Common Stock,4302.482,4302482000.0
P2726,P2726,2026-05-13,eod,LIN,BNZHB81,BBG01FND0CC1,1358.0,1358.0,1358.0,0.0,0.021182,0.021435,-8e-06,0.021443,0.0,513.26,697007.08,Materials,Chemicals,Materials,,Common Stock,462.5995,462599500.0
P2726,P2726,2026-05-13,eod,LLY,2516152,BBG000BNBDC2,478.0,478.0,478.0,0.0,0.014647,0.014931,4e-06,0.014927,0.0,1015.75,485528.5,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,941.7414,941741400.0
P2726,P2726,2026-05-13,eod,LMT,2522096,BBG000C1BW00,226.0,226.0,226.0,0.0,0.003645,0.003614,6e-06,0.003608,0.0,519.94,117506.44,Industrials,Aerospace & Defense,Capital Goods,,Common Stock,230.5636,230563600.0
P2726,P2726,2026-05-13,eod,LOW,2536763,BBG000BNDN65,330.0,330.0,330.0,0.0,0.002294,0.002237,1e-06,0.002236,0.0,220.45,72748.5,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail,,Common Stock,561.0,561000000.0
P2726,P2726,2026-05-13,eod,LRCX,BSML4N7,BBG000BNFLM9,749.0,749.0,749.0,0.0,0.006706,0.006805,-4e-06,0.006809,0.0,295.44,221284.56,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,1250.571,1250571000.0
P2726,P2726,2026-05-13,eod,MA,B121557,BBG000F1ZSQ2,626.0,626.0,626.0,0.0,0.009686,0.009445,-1e-06,0.009446,0.0,490.64,307140.64,Financials,Financial Services,Financial Services,,Common Stock,877.0362,877036200.0
P2726,P2726,2026-05-13,eod,MCD,2550707,BBG000BNSZP1,785.0,785.0,785.0,0.0,0.006679,0.006656,-2e-06,0.006657,0.0,275.7,216424.5,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,,Common Stock,710.5059,710505900.0
P2726,P2726,2026-05-13,eod,MDLZ,B8CKK03,BBG000D4LWF6,899.0,899.0,899.0,0.0,0.001717,0.001701,-1e-06,0.001702,0.0,61.52,55306.48,Consumer Staples,Food Products,"Food, Beverage & Tobacco",,Common Stock,1283.65,1283650000.0
P2726,P2726,2026-05-13,eod,MDT,BTN1Y11,BBG000BNWG87,1398.0,1398.0,1398.0,0.0,0.003324,0.003276,-2e-06,0.003278,0.0,76.21,106541.58,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services,,Common Stock,1283.885,1283885000.0
P2726,P2726,2026-05-13,eod,META,B7TL820,BBG000MM2P62,1292.0,1292.0,1292.0,0.0,0.024117,0.0245,6e-06,0.024494,0.0,616.63,796685.96,Communication Services,Interactive Media & Services,Media & Entertainment,,Common Stock,2196.046,2196046000.0
P2726,P2726,2026-05-13,eod,MMM,2595708,BBG000BP52R2,588.0,588.0,588.0,0.0,0.002607,0.00266,-3e-06,0.002663,0.0,147.1,86494.8,Industrials,Industrial Conglomerates,Capital Goods,,Common Stock,521.5673,521567300.0
P2726,P2726,2026-05-13,eod,MO,2692632,BBG000BP6LJ8,1171.0,1171.0,1171.0,0.0,0.002533,0.002576,1e-06,0.002575,0.0,71.54,83773.34,Consumer Staples,Tobacco,"Food, Beverage & Tobacco",,Common Stock,1669.891,1669891000.0
P2726,P2726,2026-05-13,eod,MRK,2778844,BBG000BPD168,1494.0,1494.0,1494.0,0.0,0.005197,0.005212,1e-06,0.005211,0.0,113.45,169494.3,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,2469.824,2469824000.0
P2726,P2726,2026-05-13,eod,MS,2262314,BBG000BLZRJ2,923.0,923.0,923.0,0.0,0.005482,0.005502,5e-06,0.005497,0.0,193.83,178905.09,Financials,Capital Markets,Financial Services,,Common Stock,1577.285,1577285000.0
P2726,P2726,2026-05-13,eod,MSFT,2588173,BBG000BPH459,3810.0,3810.0,3810.0,0.0,0.048093,0.047477,2e-06,0.047475,0.0,405.21,1543850.1,Information Technology,Software,Software & Services,,Common Stock,7428.435,7428435000.0
